Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.447474e+02,7.879239e+02,4.965931e+02,-1.080140e-02,-9.982300e-01,5.848031e-02
2,raalf,normal,5.213456e+02,7.947253e+02,5.041725e+02,1.319948e-01,-9.883307e-01,7.602485e-02
3,lflac,normal,5.652936e+02,7.810506e+02,2.876324e+02,6.807110e-01,5.546622e-02,-7.304493e-01
4,rflac,normal,4.106319e+02,8.133811e+02,3.257019e+02,-3.425082e-01,9.326895e-01,1.130414e-01
5,lfsq,normal,5.306071e+02,5.925742e+02,1.423263e+02,2.244276e-01,4.773637e-01,-8.495623e-01
6,rfsq,normal,2.958151e+02,6.374884e+02,1.991732e+02,-6.065878e-01,6.469636e-01,-4.620490e-01
7,lmax,normal,6.017489e+02,8.831722e+02,5.140485e+02,1.172742e-01,9.743127e-01,1.922541e-01
8,rmax,normal,5.235503e+02,9.018503e+02,5.367663e+02,-1.949466e-02,9.476278e-01,3.187816e-01
9,lorb,normal,6.173152e+02,7.638549e+02,3.686028e+02,-2.779455e-01,9.588092e-01,5.857505e-02
10,rorb,normal,3.927717e+02,8.141404e+02,4.097847e+02,4.815826e-01,4.839542e-01,-7.306616e-01
11,lmaxna,normal,5.824516e+02,8.794051e+02,4.037147e+02,4.281735e-01,8.329995e-01,-3.503986e-01
12,rmaxna,normal,4.758918e+02,8.878523e+02,4.014381e+02,-6.683993e-01,7.159566e-01,-2.016148e-01
13,lpto,normal,5.361328e+02,2.939200e+02,1.135727e+02,9.625909e-01,-2.355079e-01,-1.339952e-01
14,rpto,normal,1.616573e+02,3.867026e+02,2.063101e+02,-7.444597e-01,-6.375503e-01,-1.982659e-01
15,lsqzy,normal,5.973455e+02,4.032700e+02,1.752692e+02,8.068147e-01,-3.922038e-01,-4.418439e-01
16,rsqzy,normal,1.911385e+02,4.944318e+02,2.773740e+02,-9.915953e-01,-3.582683e-02,-1.243185e-01
17,lzya,normal,6.495036e+02,5.698114e+02,2.920682e+02,-5.746828e-01,5.696942e-02,-8.163910e-01
18,rzya,normal,2.748464e+02,6.713243e+02,4.014822e+02,-9.936857e-01,1.121995e-01,-1.995440e-04
19,brg,normal,3.751154e+02,5.437648e+02,9.057501e+01,1.126984e-02,3.109817e-01,-9.503491e-01
20,pari,normal,3.284604e+02,4.112049e+02,4.308592e+01,-4.596014e-01,6.241369e-03,-8.881033e-01
21,paro,normal,2.958351e+02,2.812059e+02,3.713129e+01,1.971324e-01,-6.144730e-01,-7.639120e-01
22,nas,normal,4.807648e+02,7.822511e+02,2.724160e+02,2.299464e-01,7.449945e-01,-6.261854e-01
23,nsl,normal,5.622036e+02,9.565526e+02,4.775757e+02,-2.411347e-01,9.379750e-01,-2.491122e-01
24,ids,normal,5.695450e+02,9.003743e+02,5.576068e+02,4.251142e-02,5.665008e-01,-8.229640e-01
25,leam,normal,5.446718e+02,2.815883e+02,1.791270e+02,6.044976e-01,-4.254536e-01,-6.734775e-01
26,ream,normal,1.812225e+02,3.676053e+02,2.791339e+02,-7.785040e-01,-4.116687e-01,-4.737723e-01
27,rpmn,normal,4.557244e+02,7.755184e+02,2.578778e+02,-1.061325e-01,6.062164e-01,-7.881863e-01
28,lpmn,normal,4.879093e+02,7.720168e+02,2.541877e+02,-4.395581e-01,6.957091e-01,-5.681351e-01
29,aapl,normal,5.734979e+02,5.963566e+02,4.682419e+02,2.575271e-01,9.233676e-01,2.847318e-01
30,sial,normal,5.422531e+02,5.006570e+02,3.947965e+02,8.819910e-01,4.068500e-01,-2.378336e-01
31,tmal,normal,5.808823e+02,2.935070e+02,3.386867e+02,2.927764e-02,-9.982284e-01,5.179693e-02
32,pmcl,normal,5.877290e+02,3.631924e+02,2.199770e+02,7.457817e-01,-5.305867e-01,-4.028491e-01
33,iiaml,normal,5.568239e+02,6.236794e+02,5.886839e+02,2.326218e-01,-2.113815e-01,9.493182e-01
34,lsiar,normal,5.562206e+02,6.834764e+02,5.606622e+02,5.174751e-02,1.512286e-02,-9.985457e-01
