Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.727632e+02,3.791159e+02,6.064922e+02,-5.214988e-01,7.760113e-01,3.547470e-01
2,raalf,normal,5.986804e+02,3.889146e+02,6.024498e+02,-7.237273e-01,6.240209e-01,2.946467e-01
3,lflac,normal,5.146443e+02,2.948123e+02,4.288543e+02,-3.088330e-01,-8.171239e-01,-4.867552e-01
4,rflac,normal,6.701513e+02,3.653227e+02,4.056071e+02,7.816128e-01,2.086721e-01,-5.878242e-01
5,lfsq,normal,3.797168e+02,3.782572e+02,2.747614e+02,-4.153261e-01,-8.380895e-01,-3.537093e-01
6,rfsq,normal,5.952780e+02,5.029185e+02,2.158212e+02,5.820245e-01,-3.572948e-01,-7.304710e-01
7,lmax,normal,5.830974e+02,2.743244e+02,6.458120e+02,-4.197552e-01,1.639966e-01,8.926986e-01
8,rmax,normal,6.709962e+02,3.023490e+02,6.238217e+02,7.495534e-01,-6.301091e-01,2.028107e-01
9,lorb,normal,4.871837e+02,3.055495e+02,5.274449e+02,9.085497e-01,-3.527033e-01,-2.239147e-01
10,rorb,normal,6.919941e+02,4.157100e+02,4.814268e+02,1.260617e-01,-9.558704e-01,2.653677e-01
11,lmaxna,normal,5.779594e+02,2.662060e+02,5.623549e+02,6.910931e-01,-6.840973e-01,-2.332408e-01
12,rmaxna,normal,6.802142e+02,2.945714e+02,5.461121e+02,8.964021e-01,-4.175260e-01,1.487795e-01
13,lpto,normal,1.734821e+02,5.756483e+02,2.232678e+02,-7.806824e-01,-3.617312e-01,5.095935e-01
14,rpto,normal,5.045580e+02,7.752358e+02,1.204725e+02,8.159097e-01,5.118903e-01,-2.688116e-01
15,lsqzy,normal,2.199033e+02,4.933350e+02,3.135758e+02,-9.523360e-01,1.549450e-02,-3.046572e-01
16,rsqzy,normal,5.835983e+02,6.985507e+02,2.045030e+02,8.040097e-01,5.082529e-02,-5.924402e-01
17,lzya,normal,3.338807e+02,3.782966e+02,4.595352e+02,-1.278336e-01,-4.295414e-01,-8.939534e-01
18,rzya,normal,6.840526e+02,5.728384e+02,3.776577e+02,1.203984e-01,-3.825331e-01,-9.160637e-01
19,brg,normal,4.492132e+02,4.726530e+02,1.550134e+02,3.038099e-01,-3.861255e-01,-8.709803e-01
20,pari,normal,3.733503e+02,5.714954e+02,7.105501e+01,-3.077635e-01,-1.910245e-01,-9.320897e-01
21,paro,normal,2.926085e+02,6.935826e+02,2.264740e+01,-4.568622e-01,-8.319083e-02,-8.856388e-01
22,nas,normal,5.873010e+02,3.436904e+02,3.699722e+02,5.857931e-01,-7.015656e-01,-4.057736e-01
23,nsl,normal,6.267662e+02,2.363363e+02,5.942335e+02,9.343839e-01,-3.485233e-01,7.387955e-02
24,ids,normal,6.225629e+02,2.916300e+02,6.850741e+02,6.306756e-02,-3.533952e-01,9.333457e-01
25,leam,normal,1.742796e+02,6.048809e+02,2.743675e+02,-9.170341e-01,1.387122e-02,3.985676e-01
26,ream,normal,5.037895e+02,7.973019e+02,1.854336e+02,4.303822e-01,7.234777e-01,-5.397695e-01
27,rpmn,normal,6.087906e+02,3.561497e+02,3.508336e+02,-5.219166e-01,-8.290381e-01,-2.007459e-01
28,lpmn,normal,5.530668e+02,3.356333e+02,3.556821e+02,7.897587e-01,-6.117395e-01,-4.534359e-02
29,aapl,normal,4.365491e+02,5.102492e+02,5.895589e+02,7.650704e-01,-3.573947e-01,5.356642e-01
30,sial,normal,3.647674e+02,5.580729e+02,4.982435e+02,-3.994131e-01,-1.679801e-01,-9.012501e-01
31,tmal,normal,2.099939e+02,6.509410e+02,4.154322e+02,-9.831078e-01,-1.123418e-01,-1.444937e-01
32,pmcl,normal,2.219166e+02,5.450625e+02,3.372619e+02,-8.945948e-01,-5.390581e-02,-4.436149e-01
33,iiaml,normal,4.885984e+02,5.464536e+02,6.966328e+02,-1.810459e-01,3.725066e-01,9.101984e-01
34,lsiar,normal,5.222621e+02,4.895049e+02,6.841594e+02,1.579172e-01,-1.876363e-01,-9.694611e-01
