Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,8.701462e+02,4.603149e+02,4.149264e+02,0.000000e+00,0.000000e+00,1.000000e+00
2,raalf,normal,8.599058e+02,4.321386e+02,4.173153e+02,0.000000e+00,0.000000e+00,1.000000e+00
3,lflac,normal,7.515938e+02,6.071505e+02,4.952048e+02,0.000000e+00,0.000000e+00,1.000000e+00
4,rflac,normal,6.654437e+02,4.404260e+02,5.095122e+02,0.000000e+00,0.000000e+00,1.000000e+00
5,lfsq,normal,5.867733e+02,7.179121e+02,3.955650e+02,0.000000e+00,0.000000e+00,1.000000e+00
6,rfsq,normal,4.715539e+02,4.792316e+02,4.179075e+02,0.000000e+00,0.000000e+00,1.000000e+00
7,lmax,normal,9.369877e+02,4.736853e+02,5.015459e+02,0.000000e+00,0.000000e+00,1.000000e+00
8,rmax,normal,9.016973e+02,3.874866e+02,5.105549e+02,0.000000e+00,0.000000e+00,1.000000e+00
9,lorb,normal,8.375417e+02,5.962875e+02,4.415928e+02,0.000000e+00,0.000000e+00,1.000000e+00
10,rorb,normal,7.314086e+02,3.760094e+02,4.598157e+02,0.000000e+00,0.000000e+00,1.000000e+00
11,lmaxna,normal,8.515883e+02,5.173491e+02,5.279524e+02,0.000000e+00,0.000000e+00,1.000000e+00
12,rmaxna,normal,7.937249e+02,4.270354e+02,5.370311e+02,3.010870e-02,3.150108e-01,9.486104e-01
13,lpto,normal,4.683877e+02,8.099590e+02,1.316530e+02,0.000000e+00,0.000000e+00,1.000000e+00
14,rpto,normal,2.961554e+02,4.538255e+02,1.683026e+02,0.000000e+00,0.000000e+00,1.000000e+00
15,lsqzy,normal,5.935973e+02,7.939670e+02,2.032462e+02,0.000000e+00,0.000000e+00,1.000000e+00
16,rsqzy,normal,3.970238e+02,3.949443e+02,2.448054e+02,0.000000e+00,0.000000e+00,1.000000e+00
17,lzya,normal,7.652020e+02,7.106874e+02,3.162224e+02,0.000000e+00,0.000000e+00,1.000000e+00
18,rzya,normal,6.031614e+02,3.298961e+02,3.688049e+02,0.000000e+00,0.000000e+00,1.000000e+00
19,brg,normal,4.389453e+02,6.481306e+02,3.792199e+02,0.000000e+00,0.000000e+00,1.000000e+00
20,pari,normal,3.225294e+02,6.780156e+02,2.714886e+02,0.000000e+00,0.000000e+00,1.000000e+00
21,paro,normal,2.428081e+02,6.987472e+02,1.466887e+02,0.000000e+00,0.000000e+00,1.000000e+00
22,nas,normal,6.525245e+02,5.526996e+02,4.960958e+02,0.000000e+00,0.000000e+00,1.000000e+00
23,nsl,normal,8.620306e+02,4.590978e+02,5.683551e+02,2.470202e-01,3.189259e-02,9.684854e-01
24,ids,normal,9.446506e+02,4.183983e+02,4.983726e+02,0.000000e+00,0.000000e+00,1.000000e+00
25,leam,normal,5.162528e+02,7.646099e+02,1.019742e+02,0.000000e+00,0.000000e+00,1.000000e+00
26,ream,normal,3.571326e+02,4.365717e+02,1.415024e+02,0.000000e+00,0.000000e+00,1.000000e+00
27,rpmn,normal,6.354811e+02,5.342053e+02,4.980402e+02,0.000000e+00,0.000000e+00,1.000000e+00
28,lpmn,normal,6.567783e+02,5.759890e+02,4.929913e+02,0.000000e+00,0.000000e+00,1.000000e+00
29,aapl,normal,8.353936e+02,5.254021e+02,2.362996e+02,0.000000e+00,0.000000e+00,1.000000e+00
30,sial,normal,7.382427e+02,5.902935e+02,1.895076e+02,0.000000e+00,0.000000e+00,1.000000e+00
31,tmal,normal,6.530024e+02,7.203054e+02,3.138037e+01,0.000000e+00,0.000000e+00,1.000000e+00
32,pmcl,normal,6.090138e+02,7.556653e+02,1.578955e+02,0.000000e+00,0.000000e+00,1.000000e+00
33,iiaml,normal,9.135109e+02,4.439040e+02,2.066235e+02,0.000000e+00,0.000000e+00,1.000000e+00
34,lsiar,normal,9.172072e+02,4.424484e+02,2.712859e+02,0.000000e+00,0.000000e+00,1.000000e+00
