Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.461162e+02,2.836827e+02,3.036424e+02,4.408509e-01,7.225259e-02,-8.946674e-01
2,raalf,normal,2.410297e+02,3.091495e+02,3.045868e+02,4.576496e-01,1.413158e-01,-8.778307e-01
3,lflac,normal,3.797577e+02,2.436393e+02,4.589680e+02,1.784347e-01,-8.665116e-01,4.661745e-01
4,rflac,normal,3.229174e+02,4.094319e+02,4.659959e+02,-4.218128e-01,7.950037e-01,4.359395e-01
5,lfsq,normal,5.956090e+02,2.513209e+02,4.515458e+02,2.182936e-01,-1.460916e-01,9.648861e-01
6,rfsq,normal,5.351390e+02,5.029348e+02,4.667399e+02,-3.234659e-01,6.554283e-01,6.824834e-01
7,lmax,normal,1.752417e+02,2.146928e+02,3.424589e+02,-6.269974e-01,-7.605280e-01,1.687351e-01
8,rmax,normal,1.379097e+02,2.778709e+02,3.406867e+02,-7.677154e-01,-5.140858e-01,3.825295e-01
9,lorb,normal,3.384128e+02,1.993625e+02,3.856009e+02,-3.083836e-01,6.447866e-01,6.993923e-01
10,rorb,normal,2.791422e+02,4.299042e+02,3.929632e+02,1.680155e-01,-7.455767e-01,6.448924e-01
11,lmaxna,normal,2.433526e+02,2.338125e+02,4.139926e+02,-6.688062e-01,3.985794e-02,7.423676e-01
12,rmaxna,normal,1.956490e+02,3.257150e+02,4.272191e+02,-6.478918e-01,-1.872380e-01,7.383617e-01
13,lpto,normal,8.241703e+02,2.437863e+02,2.709015e+02,-1.831067e-01,-3.973323e-01,-8.992214e-01
14,rpto,normal,7.424492e+02,6.360932e+02,2.922053e+02,-2.567770e-01,9.564284e-01,-1.389621e-01
15,lsqzy,normal,7.025613e+02,1.921421e+02,2.988401e+02,6.805767e-01,-7.324131e-01,-1.965669e-02
16,rsqzy,normal,6.153559e+02,6.145686e+02,3.195267e+02,-2.403645e-01,7.419646e-01,6.258701e-01
17,lzya,normal,5.003395e+02,1.606477e+02,3.182606e+02,3.947035e-01,2.699126e-01,8.782690e-01
18,rzya,normal,3.982126e+02,5.434473e+02,3.377208e+02,6.007977e-01,-2.206431e-01,7.683482e-01
19,brg,normal,6.835451e+02,4.076637e+02,4.786267e+02,3.652976e-01,-2.005019e-01,9.090416e-01
20,pari,normal,8.049573e+02,4.339408e+02,4.340300e+02,5.871968e-01,3.432659e-01,7.330542e-01
21,paro,normal,9.283884e+02,4.540408e+02,3.395115e+02,-9.057609e-01,2.651669e-01,3.305808e-01
22,nas,normal,3.983622e+02,3.484401e+02,4.889768e+02,-5.692335e-01,1.158601e-01,8.139715e-01
23,nsl,normal,1.815383e+02,2.418932e+02,4.234724e+02,-5.135121e-01,4.100705e-01,7.537556e-01
24,ids,normal,1.485984e+02,2.414358e+02,3.247112e+02,-2.767101e-01,-5.380328e-01,7.962111e-01
25,leam,normal,7.934985e+02,2.448964e+02,2.206186e+02,3.893223e-01,-7.736298e-01,-4.999251e-01
26,ream,normal,7.076671e+02,6.163546e+02,2.420550e+02,5.814876e-01,8.130416e-01,-2.890860e-02
27,rpmn,normal,3.981552e+02,3.723734e+02,4.912573e+02,-1.465598e-01,-2.562372e-01,9.554385e-01
28,lpmn,normal,4.119897e+02,3.223510e+02,4.866304e+02,2.098443e-01,1.336478e-01,9.685575e-01
29,aapl,normal,4.044079e+02,2.571171e+02,1.843336e+02,-9.569183e-01,2.902667e-01,7.264105e-03
30,sial,normal,5.225547e+02,2.731102e+02,1.968126e+02,8.340321e-01,5.317630e-01,1.470327e-01
31,tmal,normal,7.129646e+02,2.266613e+02,1.123197e+02,7.934043e-01,-6.052880e-01,-6.431244e-02
32,pmcl,normal,7.176880e+02,2.116733e+02,2.377363e+02,6.074334e-01,-6.179879e-01,-4.991149e-01
33,iiaml,normal,3.096500e+02,2.783258e+02,1.162034e+02,-4.263741e-01,-4.787314e-01,-7.674773e-01
34,lsiar,normal,2.853174e+02,2.830166e+02,1.704984e+02,4.185721e-01,5.545251e-01,7.192352e-01
