Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,4.056183e+02,1.900770e+02,5.284728e+02,6.774054e-01,-6.991594e-01,-2.286877e-01
2,raalf,normal,3.956248e+02,1.833024e+02,5.038309e+02,7.467576e-01,-7.538353e-03,-6.650535e-01
3,lflac,normal,4.038870e+02,4.028175e+02,5.727723e+02,2.777437e-01,3.702515e-01,8.864380e-01
4,rflac,normal,3.185428e+02,3.710338e+02,4.255740e+02,-8.788151e-01,1.944532e-01,-4.357431e-01
5,lfsq,normal,5.319121e+02,5.780194e+02,4.968015e+02,-4.024455e-02,6.847067e-01,7.277068e-01
6,rfsq,normal,4.242247e+02,5.157954e+02,2.785765e+02,-6.981415e-01,7.157539e-01,1.717365e-02
7,lmax,normal,3.311227e+02,1.512906e+02,5.991002e+02,-4.971621e-01,-4.263648e-01,7.556737e-01
8,rmax,normal,2.980720e+02,1.470559e+02,5.196856e+02,-6.454077e-01,-6.932569e-01,-3.206925e-01
9,lorb,normal,4.405540e+02,3.307816e+02,6.146431e+02,-9.876844e-01,4.630498e-02,-1.494498e-01
10,rorb,normal,3.351234e+02,2.706862e+02,3.938500e+02,-2.083699e-01,5.255541e-01,8.248484e-01
11,lmaxna,normal,3.235677e+02,2.831348e+02,6.056401e+02,-9.680108e-01,2.486868e-01,-3.331474e-02
12,rmaxna,normal,2.873742e+02,2.560881e+02,4.997261e+02,-8.566434e-01,1.294517e-01,-4.994040e-01
13,lpto,normal,8.177881e+02,6.607137e+02,4.144643e+02,9.399118e-01,-2.398641e-01,2.429631e-01
14,rpto,normal,6.457212e+02,5.678033e+02,6.087213e+01,-3.429166e-01,-6.489995e-01,-6.791229e-01
15,lsqzy,normal,7.475978e+02,5.750782e+02,5.003026e+02,1.337775e-01,5.876573e-01,7.979739e-01
16,rsqzy,normal,5.492098e+02,4.637178e+02,1.172611e+02,-5.296419e-01,-4.130584e-02,-8.472151e-01
17,lzya,normal,6.058252e+02,4.205303e+02,6.042662e+02,-3.062756e-01,3.732660e-01,-8.757100e-01
18,rzya,normal,4.133311e+02,3.185132e+02,2.513323e+02,-2.837328e-01,9.404117e-01,-1.874068e-01
19,brg,normal,5.218594e+02,6.331726e+02,3.481736e+02,-6.826649e-01,7.264280e-01,7.918959e-02
20,pari,normal,6.486263e+02,7.193836e+02,2.634992e+02,-7.911618e-01,3.549148e-01,4.980949e-01
21,paro,normal,7.598699e+02,7.545412e+02,1.822964e+02,7.681645e-02,9.932754e-01,-8.662140e-02
22,nas,normal,3.812365e+02,4.372238e+02,4.875348e+02,-9.485981e-01,2.473797e-01,1.973954e-01
23,nsl,normal,3.030670e+02,2.793368e+02,5.461060e+02,-9.210218e-01,1.155800e-01,-3.719677e-01
24,ids,normal,3.152262e+02,1.216442e+02,5.623485e+02,-8.479413e-01,-4.775639e-01,-2.300613e-01
25,leam,normal,8.440809e+02,5.911973e+02,4.149834e+02,7.877541e-01,5.730624e-01,2.259271e-01
26,ream,normal,6.675155e+02,4.993336e+02,7.855724e+01,1.943447e-01,5.472056e-01,-8.141229e-01
27,rpmn,normal,3.670333e+02,4.468783e+02,4.470802e+02,1.225115e-01,9.906251e-01,6.044007e-02
28,lpmn,normal,3.878926e+02,4.549471e+02,5.027707e+02,-1.973027e-01,9.803305e-01,4.890116e-03
29,aapl,normal,5.948828e+02,2.371594e+02,4.871989e+02,-9.256787e-01,-3.691809e-01,-8.261073e-02
30,sial,normal,6.713722e+02,3.318138e+02,4.517577e+02,2.485385e-01,9.161306e-01,-3.145370e-01
31,tmal,normal,8.698235e+02,4.407807e+02,4.234297e+02,9.044380e-01,4.263198e-01,-1.560694e-02
32,pmcl,normal,7.831191e+02,5.221738e+02,4.699940e+02,6.630371e-01,3.733155e-01,6.488585e-01
33,iiaml,normal,5.798839e+02,1.102456e+02,4.516668e+02,2.896301e-01,-9.554501e-01,-5.682884e-02
34,lsiar,normal,5.232922e+02,1.333827e+02,4.745424e+02,2.681095e-02,8.270053e-01,5.615545e-01
