Landmarks,34,v1.0,(cm),,,,,,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ,,,,
1,laalf,normal,5.70E+02,1.89E+02,5.62E+02,-6.52E-02,-7.14E-02,-2.55E-02,,,,
2,raalf,normal,5.54E+02,1.96E+02,5.89E+02,-4.62E-02,-2.58E-02,-8.48E-02,,,,
3,lflac,normal,7.05E+02,3.52E+02,4.99E+02,8.54E-02,5.19E-02,-3.40E-03,,,,
4,rflac,normal,6.18E+02,3.97E+02,6.38E+02,5.03E-02,7.66E-03,8.61E-02,,,,
5,lfsq,normal,6.71E+02,5.42E+02,3.69E+02,8.72E-02,4.34E-02,2.27E-02,,,,
6,rfsq,normal,5.33E+02,6.23E+02,5.44E+02,3.61E-02,5.73E-02,7.36E-02,,,,
7,lmax,normal,6.44E+02,1.18E+02,6.05E+02,7.25E-02,-6.88E-02,4.64E-04,,,,
8,rmax,normal,5.90E+02,1.44E+02,6.72E+02,1.25E-02,-3.43E-02,9.31E-02,,,,
9,lorb,normal,6.70E+02,2.60E+02,4.78E+02,1.67E-02,1.62E-02,9.72E-02,,,,
10,rorb,normal,5.49E+02,3.37E+02,6.57E+02,9.37E-02,-3.27E-02,1.23E-02,,,,
11,lmaxna,normal,7.01E+02,2.25E+02,5.89E+02,3.81E-02,1.44E-02,9.13E-02,,,,
12,rmaxna,normal,6.36E+02,2.28E+02,6.86E+02,1.63E-02,4.39E-02,8.84E-02,,,,
13,lpto,normal,5.16E+02,6.46E+02,1.07E+02,5.41E-02,-3.47E-02,-7.66E-02,,,,
14,rpto,normal,3.04E+02,7.81E+02,4.23E+02,-7.12E-02,3.31E-02,6.19E-02,,,,
15,lsqzy,normal,5.73E+02,5.30E+02,1.70E+02,-2.23E-03,4.42E-02,-8.97E-02,,,,
16,rsqzy,normal,3.39E+02,6.70E+02,5.10E+02,-8.84E-03,6.97E-02,7.12E-02,,,,
17,lzya,normal,6.43E+02,3.51E+02,3.05E+02,5.71E-02,7.90E-02,-2.25E-02,,,,
18,rzya,normal,4.22E+02,4.71E+02,6.22E+02,-1.91E-02,9.80E-02,-5.46E-03,,,,
19,brg,normal,5.90E+02,6.77E+02,4.04E+02,7.93E-02,6.09E-02,-1.64E-03,,,,
20,pari,normal,5.09E+02,7.87E+02,3.07E+02,1.79E-02,9.57E-02,-2.30E-02,,,,
21,paro,normal,4.16E+02,8.54E+02,2.24E+02,1.78E-02,8.90E-02,-4.20E-02,,,,
22,nas,normal,6.69E+02,4.27E+02,5.55E+02,1.20E-02,4.33E-02,8.93E-02,,,,
23,nsl,normal,6.92E+02,1.53E+02,6.80E+02,5.18E-02,2.45E-02,8.19E-02,,,,
24,ids,normal,6.08E+02,9.87E+01,6.48E+02,3.42E-02,1.44E-02,9.29E-02,,,,
25,leam,normal,4.69E+02,5.89E+02,1.05E+02,-1.79E-02,5.86E-03,-9.82E-02,,,,
26,ream,normal,2.53E+02,7.10E+02,4.12E+02,-7.17E-02,6.49E-02,-2.53E-02,,,,
27,rpmn,normal,6.60E+02,4.48E+02,5.65E+02,8.25E-02,2.59E-02,5.03E-02,,,,
28,lpmn,normal,6.78E+02,4.36E+02,5.37E+02,4.41E-02,-1.72E-03,8.97E-02,,,,
29,aapl,normal,4.61E+02,2.53E+02,3.77E+02,-2.63E-02,-3.20E-02,9.10E-02,,,,
30,sial,normal,4.59E+02,3.57E+02,3.05E+02,4.85E-02,7.48E-02,-4.53E-02,,,,
31,tmal,normal,3.92E+02,4.47E+02,1.18E+02,1.71E-02,5.25E-02,-8.34E-02,,,,
32,pmcl,normal,5.09E+02,5.12E+02,1.50E+02,1.45E-02,2.30E-03,-9.89E-02,,,,
33,iiaml,normal,4.00E+02,1.55E+02,4.29E+02,-2.28E-02,-9.26E-02,-3.02E-02,,,,
34,lsiar,normal,4.51E+02,1.60E+02,4.71E+02,7.93E-02,4.39E-02,-4.23E-02,,,,
