Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.588299e+02,2.801634e+02,2.777130e+02,3.481364e-01,3.057365e-01,8.861864e-01
2,raalf,normal,2.755380e+02,2.618812e+02,2.761108e+02,5.502902e-01,6.345754e-01,5.426737e-01
3,lflac,normal,2.820378e+02,4.032272e+02,1.197681e+02,1.627467e-02,-2.770704e-01,-9.607118e-01
4,rflac,normal,3.872805e+02,2.765436e+02,1.056579e+02,1.402750e-01,-7.181602e-01,-6.815928e-01
5,lfsq,normal,4.381458e+02,5.934862e+02,9.929132e+01,-1.175939e-02,3.936422e-01,-9.191886e-01
6,rfsq,normal,5.887094e+02,4.050735e+02,7.765863e+01,2.277930e-01,2.254421e-01,-9.472520e-01
7,lmax,normal,1.612432e+02,2.430343e+02,2.526669e+02,-8.912021e-01,-3.798257e-01,2.479741e-01
8,rmax,normal,2.165643e+02,1.731685e+02,2.414417e+02,-9.052832e-01,1.834161e-01,3.831722e-01
9,lorb,normal,2.390545e+02,4.049897e+02,1.948292e+02,3.168110e-01,-5.411157e-01,-7.789894e-01
10,rorb,normal,3.794348e+02,2.275017e+02,1.900763e+02,-7.886025e-01,4.502110e-01,-4.188269e-01
11,lmaxna,normal,1.924737e+02,2.911237e+02,1.641074e+02,-1.470359e-01,-6.465153e-01,-7.485976e-01
12,rmaxna,normal,2.744277e+02,2.196098e+02,1.427504e+02,2.536029e-01,-7.744032e-01,-5.796424e-01
13,lpto,normal,5.902063e+02,7.983015e+02,2.587204e+02,-7.117532e-01,6.927243e-01,-1.163626e-01
14,rpto,normal,8.456919e+02,4.957228e+02,2.206522e+02,3.872212e-01,-9.180070e-01,8.557518e-02
15,lsqzy,normal,4.822729e+02,7.341894e+02,2.395248e+02,-3.374379e-01,9.389360e-01,-6.734242e-02
16,rsqzy,normal,7.513538e+02,4.019664e+02,2.101183e+02,7.992626e-01,-5.322921e-02,5.986200e-01
17,lzya,normal,3.120718e+02,5.722271e+02,2.468165e+02,-1.271259e-01,4.334039e-01,-8.921883e-01
18,rzya,normal,5.683568e+02,2.662568e+02,2.214170e+02,4.396308e-01,7.741565e-01,-4.554189e-01
19,brg,normal,5.870890e+02,5.662245e+02,6.355566e+01,1.273876e-01,8.751668e-01,-4.667498e-01
20,pari,normal,7.118606e+02,6.734304e+02,1.023239e+02,1.699755e-01,1.581317e-01,-9.726781e-01
21,paro,normal,8.100530e+02,7.380295e+02,1.720317e+02,8.146313e-01,-1.350393e-01,-5.640392e-01
22,nas,normal,3.571950e+02,3.661202e+02,8.519696e+01,-3.376929e-01,-4.616081e-01,-8.202937e-01
23,nsl,normal,1.612613e+02,1.949900e+02,1.705952e+02,-1.378026e-01,-5.682406e-01,-8.112417e-01
24,ids,normal,1.866217e+02,1.944657e+02,2.700301e+02,-1.143426e-02,3.214721e-02,-9.994177e-01
25,leam,normal,5.724155e+02,7.637318e+02,3.133334e+02,4.606298e-01,6.931404e-01,5.544154e-01
26,ream,normal,8.113738e+02,4.731777e+02,2.847162e+02,4.248419e-01,-5.494623e-01,7.194447e-01
27,rpmn,normal,3.916252e+02,3.644333e+02,8.017041e+01,-6.906347e-01,-2.615011e-01,-6.742706e-01
28,lpmn,normal,3.621415e+02,3.935334e+02,7.841748e+01,1.112172e-02,-1.081745e-02,-9.998796e-01
29,aapl,normal,3.456405e+02,4.351616e+02,3.784602e+02,-2.126844e-01,-9.318241e-01,-2.940565e-01
30,sial,normal,4.289373e+02,5.243989e+02,3.571688e+02,4.143390e-01,6.776887e-01,-6.075040e-01
31,tmal,normal,5.153417e+02,6.984371e+02,4.335366e+02,2.045511e-01,4.961599e-01,-8.437915e-01
32,pmcl,normal,4.923907e+02,7.224103e+02,3.045413e+02,-4.883072e-01,8.711075e-01,5.222728e-02
33,iiaml,normal,3.237629e+02,3.429825e+02,4.579686e+02,-5.155804e-01,-3.289570e-01,7.911790e-01
34,lsiar,normal,2.963511e+02,3.199963e+02,3.998749e+02,3.661234e-02,6.738706e-01,-7.379417e-01
