Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,8.621028e+02,5.219139e+02,3.899719e+02,-8.659739e-01,3.817937e-01,3.229906e-01
2,raalf,normal,8.685763e+02,5.039303e+02,3.797242e+02,-4.681745e-01,8.762332e-01,-1.141406e-01
3,lflac,normal,7.262220e+02,6.049179e+02,5.359434e+02,2.371710e-01,5.275606e-01,8.157388e-01
4,rflac,normal,6.559200e+02,4.554817e+02,4.722244e+02,-1.330092e-01,-4.689828e-01,8.731344e-01
5,lfsq,normal,5.557343e+02,7.270412e+02,5.072681e+02,-1.073139e-01,4.540130e-01,8.845088e-01
6,rfsq,normal,4.686382e+02,5.038542e+02,4.221710e+02,-2.712452e-01,-8.830558e-01,3.829341e-01
7,lmax,normal,9.074189e+02,5.002243e+02,4.810553e+02,6.747750e-01,-2.461374e-01,6.957694e-01
8,rmax,normal,8.927656e+02,4.223848e+02,4.232160e+02,3.418941e-01,-8.355041e-01,4.301642e-01
9,lorb,normal,8.117126e+02,6.290913e+02,4.790190e+02,1.595954e-01,-9.151088e-01,3.702770e-01
10,rorb,normal,7.253224e+02,4.152755e+02,3.986949e+02,2.034505e-01,2.129601e-01,9.556442e-01
11,lmaxna,normal,8.251761e+02,5.280933e+02,5.132534e+02,2.509682e-01,1.324303e-02,9.679047e-01
12,rmaxna,normal,7.827894e+02,4.461187e+02,4.784013e+02,4.189429e-01,6.309748e-01,6.529607e-01
13,lpto,normal,4.010541e+02,9.210665e+02,3.573199e+02,3.685652e-01,7.661790e-01,5.264309e-01
14,rpto,normal,2.797659e+02,5.893592e+02,2.071819e+02,7.477315e-03,-5.022582e-01,-8.646854e-01
15,lsqzy,normal,5.331453e+02,8.876721e+02,3.840963e+02,1.795715e-01,6.677930e-01,7.223617e-01
16,rsqzy,normal,3.847149e+02,5.112302e+02,2.371393e+02,-4.609580e-01,-8.616050e-01,-2.124954e-01
17,lzya,normal,7.261166e+02,7.708702e+02,4.402415e+02,-5.732477e-01,1.311883e-01,8.088119e-01
18,rzya,normal,6.020518e+02,4.162555e+02,3.129977e+02,-7.333379e-01,3.033935e-01,6.084144e-01
19,brg,normal,4.036536e+02,6.536351e+02,4.597007e+02,-5.736928e-01,-5.092132e-02,8.174862e-01
20,pari,normal,3.060250e+02,7.202991e+02,4.008541e+02,-9.903026e-01,1.293151e-01,5.077809e-02
21,paro,normal,2.126355e+02,7.916208e+02,3.121043e+02,-8.326293e-01,3.268537e-01,4.470963e-01
22,nas,normal,6.379464e+02,5.484666e+02,5.113499e+02,3.291916e-01,-7.339460e-01,5.941012e-01
23,nsl,normal,8.161702e+02,4.775976e+02,5.049409e+02,-1.581630e-02,-8.672842e-02,9.961064e-01
24,ids,normal,9.344522e+02,4.495443e+02,4.228102e+02,4.723887e-01,-6.688303e-01,5.740339e-01
25,leam,normal,4.622098e+02,9.206667e+02,2.961113e+02,-2.034785e-01,9.690570e-01,1.397321e-01
26,ream,normal,3.306187e+02,5.920026e+02,1.636783e+02,-9.603842e-01,-1.783729e-03,-2.786739e-01
27,rpmn,normal,6.160044e+02,5.343199e+02,5.088182e+02,-3.838813e-01,-3.964728e-01,8.339331e-01
28,lpmn,normal,6.417236e+02,5.795867e+02,5.280522e+02,-1.397945e-01,-5.403248e-01,8.297629e-01
29,aapl,normal,7.964938e+02,6.897142e+02,2.760302e+02,6.857850e-01,5.140040e-01,5.152658e-01
30,sial,normal,6.938428e+02,7.399147e+02,2.757262e+02,-6.393308e-01,5.020208e-01,5.824356e-01
31,tmal,normal,5.757047e+02,9.160170e+02,1.975921e+02,-6.101875e-01,7.912316e-01,-4.029628e-02
32,pmcl,normal,5.465444e+02,8.831350e+02,3.243140e+02,-2.555428e-01,9.603335e-01,1.116124e-01
33,iiaml,normal,8.719949e+02,6.381444e+02,2.066015e+02,5.536135e-01,3.457094e-01,-7.576259e-01
34,lsiar,normal,8.850850e+02,6.036099e+02,2.581283e+02,-4.206135e-01,3.889256e-01,8.196470e-01
